name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,like
Marry Me,0.113,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,0.588,205453,0.408,0OWZFobGSIW9GrSlQ9C5pc,0.0,3,0.13,-8.662,1,0.0237,85.008,4,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,audio_features,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,0.484,1.0
Is It Really Me You're Missing,0.653,https://api.spotify.com/v1/audio-analysis/1WO6kvO7P8TOsuhBaqun5w,0.535,232800,0.297,1WO6kvO7P8TOsuhBaqun5w,0.0,6,0.118,-6.0429999999999975,1,0.0665,147.569,4,https://api.spotify.com/v1/tracks/1WO6kvO7P8TOsuhBaqun5w,audio_features,spotify:track:1WO6kvO7P8TOsuhBaqun5w,0.0492,1.0
Hollow Crown,0.10300000000000001,https://api.spotify.com/v1/audio-analysis/15baNmdl3WSqSKnT0YDG2v,0.62,171320,0.564,15baNmdl3WSqSKnT0YDG2v,0.0,8,0.0735,-7.09,1,0.0392,150.034,4,https://api.spotify.com/v1/tracks/15baNmdl3WSqSKnT0YDG2v,audio_features,spotify:track:15baNmdl3WSqSKnT0YDG2v,0.301,1.0
A Big World,0.312,https://api.spotify.com/v1/audio-analysis/4vhW66VGfINDEOssckYMIW,0.394,186681,0.505,4vhW66VGfINDEOssckYMIW,0.0,7,0.268,-7.638,1,0.0473,109.446,4,https://api.spotify.com/v1/tracks/4vhW66VGfINDEOssckYMIW,audio_features,spotify:track:4vhW66VGfINDEOssckYMIW,0.255,1.0
Roman Sky,0.139,https://api.spotify.com/v1/audio-analysis/1hy6eKT3JRhi3ODXpL8Ubu,0.455,300361,0.42,1hy6eKT3JRhi3ODXpL8Ubu,3.28e-05,2,0.10099999999999999,-8.731,0,0.0297,130.045,4,https://api.spotify.com/v1/tracks/1hy6eKT3JRhi3ODXpL8Ubu,audio_features,spotify:track:1hy6eKT3JRhi3ODXpL8Ubu,0.10099999999999999,1.0
Beautiful People (feat. Khalid),0.124,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,0.64,197867,0.648,4evmHXcjt3bTUHD1cvny97,0.0,5,0.0802,-8.113,0,0.187,92.977,4,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,audio_features,spotify:track:4evmHXcjt3bTUHD1cvny97,0.5479999999999999,1.0
Skrt On Me,0.16899999999999998,https://api.spotify.com/v1/audio-analysis/7iDxZ5Cd0Yg08d4fI5WVtG,0.713,228267,0.889,7iDxZ5Cd0Yg08d4fI5WVtG,5.7999999999999994e-05,0,0.16899999999999998,-3.87,1,0.0376,101.977,4,https://api.spotify.com/v1/tracks/7iDxZ5Cd0Yg08d4fI5WVtG,audio_features,spotify:track:7iDxZ5Cd0Yg08d4fI5WVtG,0.96,1.0
Look What God Gave Her,0.0221,https://api.spotify.com/v1/audio-analysis/1HY7Ze0NWqDJkl4g4MV62Q,0.732,168214,0.847,1HY7Ze0NWqDJkl4g4MV62Q,0.0,2,0.246,-3.921,1,0.0307,113.012,4,https://api.spotify.com/v1/tracks/1HY7Ze0NWqDJkl4g4MV62Q,audio_features,spotify:track:1HY7Ze0NWqDJkl4g4MV62Q,0.885,0.0
Just Friends,0.156,https://api.spotify.com/v1/audio-analysis/02Ygu8lo3qSknRpcBnspso,0.7929999999999999,168947,0.7140000000000001,02Ygu8lo3qSknRpcBnspso,0.0,7,0.136,-7.562,1,0.193,100.036,4,https://api.spotify.com/v1/tracks/02Ygu8lo3qSknRpcBnspso,audio_features,spotify:track:02Ygu8lo3qSknRpcBnspso,0.794,1.0
Street Fighter Mas,0.58,https://api.spotify.com/v1/audio-analysis/2kTWcP2fid9TKLdcRuiAq4,0.6,358151,0.662,2kTWcP2fid9TKLdcRuiAq4,0.952,9,0.1,-8.285,0,0.0941,80.85600000000002,4,https://api.spotify.com/v1/tracks/2kTWcP2fid9TKLdcRuiAq4,audio_features,spotify:track:2kTWcP2fid9TKLdcRuiAq4,0.7070000000000001,1.0
